Name,Addr,subway,distSubway
이디야커피 역삼충현점,강남구,언주역 9호선,0.4537336617196965
이디야커피 성수중앙점,성동구,성수역 2호선,0.14761491821677605
이디야커피 길음뉴타운점,성북구,길음역 4호선,0.823159037348851
이디야커피 서울대입구역점,관악구,서울대입구역 2호선,0.19424025151643953
이디야커피 종로르메이에르점,종로구,광화문역 5호선,0.284752242826007
이디야커피 보라매점,동작구,신림역 2호선,0.9331252505939884
이디야커피 녹두거리점,관악구,봉천역 2호선,1.375139368543913
이디야커피 마곡나루역점,강서구,마곡나루역 공항철도,0.23948972511576547
이디야커피 삼각산점,강북구,솔샘역 우이신설선,0.3724285191505021
이디야커피 상봉중앙점,중랑구,상봉역 7호선,0.1365481021681999
이디야커피 한국수출입은행점,영등포구,국회의사당역 9호선,0.4506738737000839
이디야커피 수서역점,강남구,수서역 3호선,0.07397981860685762
이디야커피 구산역점,은평구,구산역 6호선,0.10850588919339127
이디야커피 역촌진흥로점,은평구,응암역 6호선,0.3989984016408857
이디야커피 은평구청점,은평구,녹번역 3호선,0.5729111030734316
이디야 송파문정점,송파구,경찰병원역 3호선,0.6012878594400124
이디야커피 보문역점,성북구,보문역 6호선,0.10535206251557099
이디야커피 상도중앙점,동작구,상도역 7호선,0.488264713144655
이디야커피 사가정역점,중랑구,사가정역 7호선,0.3455743311861781
이디야커피 성동구청점,성동구,왕십리역 2호선,0.20270207162234488
이디야커피 신설점,종로구,신설동역 1호선,0.3442898171316422
이디야커피 중랑역점,중랑구,중랑역 경의중앙선,0.191224970089753
이디야커피 강남논현학동점,강남구,논현역 7호선,0.6530756893459208
이디야커피 문래역점,영등포구,문래역 2호선,0.31399925493231506
이디야커피 촬영소사거리점,동대문구,장한평역 5호선,1.2770792633050716
이디야커피 먹골역점,중랑구,먹골역 7호선,0.13844135577862737
이디야커피 불광연서로점,은평구,연신내역 3호선,0.4179314643520069
이디야커피 잠원논현점,서초구,논현역 7호선,0.13662078583006337
이디야커피 포이사거리점,강남구,매봉역 3호선,0.9432365595114326
이디야커피 중랑교차로점,중랑구,중랑역 경의중앙선,0.5238573967843364
이디야커피 창덕궁점,종로구,종로3가역 5호선,0.12185591720364071
이디야커피 강서한강자이점,강서구,양천향교역 9호선,0.5150612049173368
이디야커피 신도림메르디앙점,구로구,도림천역 2호선,0.5461016244024282
이디야커피 동자동점,용산구,서울역 4호선,0.20518896361037117
이디야커피 동대문구청점,동대문구,용두역 2호선,0.23450319342529757
이디야커피 봉천중앙점,관악구,서울대입구역 2호선,0.509489539964899
이디야커피 신길썬프라자점,영등포구,신풍역 7호선,0.8118626244820157
이디야커피 용산청파점,용산구,서울역 공항철도,0.10302048958397685
이디야커피 방이초교점,송파구,송파나루역 9호선,0.6691715941200191
이디야커피 사당역점,동작구,사당역 2호선,0.3492296541153739
이디야커피 대방역점,동작구,노들역 9호선,0.15887533761285066
이디야커피 고대구로병원점,구로구,남구로역 7호선,0.7978484620565417
이디야커피 구의동점,광진구,구의역 2호선,0.4721421833106081
이디야커피 신당점,중구,신당역 2호선,0.25400279622907257
이디야커피 방학중앙점,도봉구,방학역 1호선,0.8055667737516862
이디야커피 개포동역점,강남구,개포동역 수인분당선,0.11218636383016413
이디야커피 양재AT점,서초구,양재시민의숲역 신분당선,0.20045422015761694
이디야커피 길동중앙점,강동구,길동역 5호선,0.5451020506757087
이디야커피 암사3동점,강동구,명일역 5호선,0.4951110117822524
이디야커피 오목교역점,양천구,오목교역 5호선,0.17033404456438309
이디야커피 애오개역점,마포구,애오개역 5호선,0.15346483865558538
이디야커피 신금호역점,성동구,신금호역 5호선,0.1194093383409225
이디야커피 천호초교사거리점,강동구,굽은다리역 5호선,0.7351091279597306
이디야커피 자양동점,광진구,아차산역 5호선,0.3959955432469017
이디야커피 을지로3가점,중구,을지로3가역 2호선,0.11233893251330869
이디야커피 화곡로점,강서구,화곡역 5호선,0.3862222055310016
이디야커피 곰달래사거리점,강서구,목동역 5호선,0.7733232698206607
이디야커피 신림역점,관악구,신림역 2호선,0.22828294272729358
이디야커피 공덕롯데캐슬점,마포구,공덕역 5호선,0.06984671626468755
이디야커피 충무로점,중구,충무로역 3호선,0.1685803934813967
이디야커피 당고개역점,노원구,당고개역 4호선,0.09638681870407982
이디야커피 뚝섬역점,성동구,뚝섬역 2호선,0.12572831203991472
이디야커피 미아중앙점,강북구,미아사거리역 4호선,0.9177986903858479
이디야커피 구로역광장점,구로구,구로역 1호선,0.12251217503088445
이디야커피 돌곶이역점,성북구,돌곶이역 6호선,0.08187853711837442
이디야커피 창동역점,도봉구,창동역 4호선 1번출구,0.11544719170566031
이디야커피 개봉역점,구로구,개봉역 1호선,0.05344434826634039
이디야커피 천호중앙점,강동구,천호역 5호선,0.18951893506705547
이디야커피 연신내중앙점,은평구,연신내역 3호선,0.26472628535912196
이디야커피 국회의사당역점,영등포구,국회의사당역 9호선,0.0859015062659905
이디야커피 망리단길점,마포구,망원역 6호선,0.4407991878585017
이디야커피 목동남부점,양천구,양천구청역 2호선,0.43172529109941976
이디야커피 숭인점,종로구,신설동역 1호선,0.27819820877732016
이디야커피 미아역점,강북구,미아역 4호선,0.32468485013275555
이디야커피 장안중앙점,동대문구,사가정역 7호선,1.1852840811889054
이디야커피 다동점,중구,을지로입구역 2호선,0.19707651257996875
이디야커피 종로교차로점,종로구,종로5가역 1호선,0.044892078915993214
이디야커피 신사점,강남구,신사역 3호선,0.13272613524187574
이디야커피 공릉중앙점,노원구,화랑대역 6호선,0.48053361356201324
이디야커피 가재울점,서대문구,디지털미디어시티역 6호선,1.0366562984219712
이디야커피 대흥역점,마포구,서강대역 경의중앙선,0.8396577450077669
이디야커피 종합운동장역점,송파구,잠실새내역 2호선,0.44718204355253643
이디야커피 KBS별관점,영등포구,샛강역 9호선,0.30887186778906955
이디야커피 텐즈힐점,성동구,신설동역 1호선,0.4337148606161926
이디야커피 노원사거리점,노원구,노원역 7호선,0.08116711457966778
이디야커피 강남YMCA점,강남구,언주역 9호선,0.30153795993574484
이디야커피 삼양사거리점,강북구,솔샘역 우이신설선,0.7320437625814243
이디야커피 구의사거리점,광진구,구의역 2호선,0.8356584243670504
이디야커피 마들역점,노원구,마들역 7호선,0.1974824821102838
이디야커피 응봉동점,성동구,옥수역 3호선,0.5553356069568897
이디야커피 해군회관점,동작구,보라매역 7호선,0.5051591772965535
이디야커피 마곡파인스퀘어점,강서구,마곡나루역 공항철도,0.821196804447674
이디야커피 신월신곡시장점,양천구,신정네거리역 2호선,0.9683034789268148
이디야커피 방학사거리점,도봉구,방학역 1호선,0.24331193487607786
이디야커피 왕십리비트플렉스점,성동구,왕십리역 2호선,0.06416376855190004
이디야커피 4.19사거리점,강북구,가오리역 우이신설선,0.730735333893261
이디야커피 등촌동점,강서구,등촌역 9호선,0.12038762250490588
이디야커피 양천구청점,양천구,양천구청역 2호선,0.42947204275667755
이디야커피 회기역중앙점,동대문구,회기역 1호선,0.0726209727033048
이디야커피 구로NC점,구로구,구로역 1호선,0.2860537210060527
이디야커피 구로미성점,구로구,구로역 1호선,0.6296895416463228
이디야커피 송파파인타운점,송파구,장지역 8호선,0.08295360725846697
이디야커피 마장역점,성동구,마장역 5호선,0.24847425361927475
이디야커피 서초역점,서초구,서초역 2호선,0.5939034415644596
이디야커피 예술의전당점,서초구,남부터미널역 3호선,0.4566175572391967
이디야커피 포이점,서초구,양재시민의숲역 신분당선,0.83249029109962
이디야커피 노량진CTS점,동작구,노량진역 9호선,0.25248421425277273
이디야커피 신도림테크노마트점,구로구,신도림역 1호선,0.19248382374905804
이디야커피 상수역점,마포구,상수역 6호선,0.17583636661592744
이디야커피 신림대학동점,관악구,봉천역 2호선,1.4467669118423458
이디야커피 까치산역점,강서구,까치산역 5호선,0.13444081194088844
이디야커피 홍제역점,서대문구,홍제역 3호선,0.049153685230618624
이디야커피 장안동사거리점,동대문구,용마산역 7호선,1.0945759653607323
이디야커피 중계점,노원구,중계역 7호선,0.3306841311725427
이디야커피 상계동점,노원구,상계역 4호선,0.7488638392888526
이디야커피 양재점,서초구,양재역 3호선,0.24638970804057717
이디야커피 석관동점,성북구,신이문역 1호선,0.4665509800467947
이디야커피 신월사거리점,양천구,화곡역 5호선,1.2137283805520125
이디야커피 쌍문역점,도봉구,쌍문역 4호선,0.06728673261431029
이디야커피 상암우리기술점,마포구,디지털미디어시티역 경의중앙선,1.1316032136491485
이디야커피 양평동2가점,영등포구,양평역 5호선,0.19531609459957
이디야커피 상암DMC점,마포구,디지털미디어시티역 공항철도,0.8712622980937441
이디야커피 성수아카데미점,성동구,성수역 2호선,0.09868037835414499
이디야커피 만리동고개점,중구,충정로역 2호선,0.48535219153147063
이디야커피 원효로점,용산구,남영역 1호선,0.22151004282105147
이디야커피 을지병원사거리점,강남구,압구정역 3호선,0.7826030981762633
이디야커피 답십리로데오점,성동구,답십리역 5호선,0.33432499104432
이디야커피 창동현대타운점,도봉구,쌍문역 4호선,0.17866062110574787
이디야커피 광화문트윈트리타워점,종로구,종로3가역 5호선,0.4188725529927694
이디야커피 영등포그랜드점,영등포구,양평역 5호선,0.1991617504183263
이디야커피 탑골공원점,종로구,종로3가역 5호선,0.19049079462235205
이디야커피 공항시장역점,강서구,공항시장역 9호선,0.07362137323582903
이디야커피 구로에이스점,구로구,구로디지털단지역 2호선,0.5657923502499833
이디야커피 돈암동점,성북구,성신여대입구역 4호선,0.13112004082332498
이디야커피 도봉구청점,도봉구,방학역 1호선,0.1041374926596621
이디야커피 낙원동점,종로구,종로3가역 5호선,0.21673279430562672
이디야커피 순천향병원점,용산구,한남역 경의중앙선,0.539087536178337
이디야커피 금란망우점,중랑구,양원역 경의중앙선,0.8394041573227127
이디야커피 개봉북부점,구로구,개봉역 1호선,0.18304923821696398
이디야커피 마포데시앙점,마포구,공덕역 6호선,0.2387085498525015
이디야커피 은행나무사거리점,금천구,금천구청역 1호선,1.238103677757908
이디야커피 강남자곡점,강남구,수서역 3호선,1.5457334276222623
이디야커피 증미한화점,강서구,증미역 9호선,0.203909705375249
이디야커피 한성대점,성북구,한성대입구역 4호선,0.4252178900525679
이디야커피 방학점,도봉구,방학역 1호선,1.0882537981157294
이디야커피 장위북서울꿈의숲점,성북구,미아사거리역 4호선,1.2759813163413558
이디야커피 광산사거리점,강북구,수유역 4호선,0.502004218505696
이디야커피 하월곡동점,성북구,월곡역 6호선,0.40298408427533483
이디야커피 강일점,강동구,고덕지하철차량기지,1.1409805336716228
이디야커피 미아삼거리역점,강북구,미아사거리역 4호선,0.20424444182693297
이디야커피 선덕고사거리점,도봉구,쌍문역 4호선,1.1137237400373903
이디야커피 국민대점,성북구,정릉역 우이신설선,0.47440015908221966
이디야커피 석촌역점,송파구,석촌역 8호선,0.05464670610783235
이디야커피 서울공진초교점,강서구,우장산역 5호선,0.7309007469414691
이디야커피 방배역점,서초구,방배역 2호선,0.10087306023036961
이디야커피 종암동점,성북구,월곡역 6호선,0.670993312096003
