,Name,Addr,lat,lng
195,스타벅스 서초역점,서울 서초구 반포대로 118 1층,37.4906229,127.0085975
196,스타벅스 둔촌동점,서울 강동구 양재대로 1303 평원빌딩 1층,37.5227235,127.1339426
197,스타벅스 선정릉역,서울 강남구 봉은사로 407,37.51075489999999,127.0445597
198,스타벅스 도곡공원점,서울 강남구 도곡로 205,37.493073,127.0412545
199,스타벅스 구의역,서울 광진구 아차산로 373,37.5369745,127.0840194
200,스타벅스 동묘앞역점,"서울 종로구 종로 344 101,201호",37.5727002,127.0160721
201,스타벅스 가산디지털점,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층,37.4800992,126.8826202
202,스타벅스 청담공원점,서울 강남구 학동로 506 보라티알 빌딩 1층,37.5048495,127.0658238
203,스타벅스 가락본동점,서울 송파구 송파대로30길 13,37.4948203,127.1187978
204,스타벅스 순천향입구점,서울 용산구 대사관로 67,37.5333841,127.0056296
205,스타벅스 금천시흥점,서울 금천구 시흥대로 164,37.4488601,126.903246
206,스타벅스 독산사거리점,서울 금천구 시흥대로 426,37.4715113,126.8987752
207,스타벅스 황학사거리점,서울 성동구 왕십리로 410 센트라스,37.5658389,127.0296943
208,스타벅스 국립중앙의료원점,서울 중구 을지로 251,37.566516,127.0062376
209,스타벅스 압구정,서울 강남구 압구정로30길 17,37.5262829,127.0295602
210,스타벅스 영등포구청역점,서울 영등포구 국회대로 558,37.5275785,126.895872
211,스타벅스 문정로데오점,서울 송파구 동남로 141,37.491868,127.1262565
212,스타벅스 태릉입구역DT,서울 노원구 화랑로 469,37.619211,127.0792994
213,스타벅스 압구정역점,"서울 강남구 압구정로 170 관영빌딩 지하1층, 1층",37.526735,127.0281047
214,스타벅스 학동사거리,서울 강남구 도산대로 328,37.52236449999999,127.0379543
215,스타벅스 종로3가점,서울 종로구 종로 113-1 1~4층,37.5705527,126.9902055
216,스타벅스 숙대입구역점,서울 용산구 한강대로 291 지하 1~3층,37.5442008,126.9719246
217,스타벅스 구로디지털타워점,서울 구로구 디지털로32길 30,37.4833471,126.8965154
218,스타벅스 상일동점,"서울 강동구 상일로10길 36 1,2층",37.5530573,127.1724614
219,스타벅스 종로평창점,서울 종로구 평창12길 3,37.60614899999999,126.9672128
220,스타벅스 선유동이레빌딩점,서울 영등포구 선유동2로 57 이레빌딩,37.5338151,126.8969784
221,스타벅스 송파사거리점,서울 송파구 송파대로 386,37.5022465,127.1103401
222,스타벅스 방배역점,서울 서초구 방배로 84,37.48193,126.9976464
223,스타벅스 상도역점,서울 동작구 상도로37길 1,37.5031939,126.9484286
224,스타벅스 상수역점,서울 마포구 독막로 88,37.5474817,126.9232158
225,스타벅스 남가좌사거리점,서울 서대문구 거북골로 84 104동,37.5765117,126.9197277
226,스타벅스 우장산역,"서울 강서구 강서로 267 송화쇼핑센터 1층,지하층",37.5495626,126.8359438
227,스타벅스 사당로데오점,서울 서초구 방배천로 5-4,37.4772752,126.9821605
228,스타벅스 동여의도점,서울 영등포구 여의도동 43-4 롯데캐슬 아이비 1층 122호,37.5200722,126.9318875
229,스타벅스 신림점,서울 관악구 신림로 355-1,37.48605870000001,126.9291581
230,스타벅스 이수역사거리점,서울 서초구 서초대로 3-4,37.4860394,126.9830638
231,스타벅스 월계역점,서울 노원구 초안산로2라길 26 104~106호,37.63115310000001,127.0577021
232,스타벅스 삼성역섬유센터R점,서울 강남구 테헤란로 518,37.5075512,127.060561
233,스타벅스 연신내점,서울 은평구 통일로 867,37.6201922,126.9198809
234,스타벅스 북촌로점,서울 종로구 북촌로4길 23 1층~3층,37.5793885,126.9864543
235,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층,37.5577614,126.9381244
236,스타벅스 미아역점,서울 강북구 도봉로 196 1층,37.6260494,127.0266005
237,스타벅스 경희대삼거리점,서울 동대문구 회기로 141,37.59153140000001,127.0520171
238,스타벅스 주얼리시티점,서울 종로구 종로 183 주얼리시티 1층,37.571393,126.9986634
239,스타벅스 갤러리아팰리스점,서울 송파구 올림픽로 212 갤리러아팰리스 1층,37.5110359,127.093967
240,스타벅스 강남교보타워R점,서울 서초구 강남대로 465 1층,37.5037208,127.0240967
241,스타벅스 중앙대점,서울 동작구 흑석로 75-1,37.5069327,126.9581247
242,스타벅스 차병원사거리점,서울 강남구 봉은사로 213,37.50800400000001,127.0353584
243,스타벅스 신촌오거리점,서울 마포구 신촌로16길 10,37.555138,126.9346633
244,스타벅스 서울역사점,서울 용산구 동자동 43-205,37.5490645,126.9704658
245,스타벅스 중랑역점,서울 중랑구 망우로30길 3,37.5930326,127.0747358
246,스타벅스 아차산역,서울 광진구 천호대로 676,37.5506271,127.0899534
247,스타벅스 정부서울청사R점,서울 종로구 새문안로5가길 28 광화문플래티넘 1층,37.5744107,126.9735709
248,스타벅스 종암점,서울 성북구 종암로 122,37.6011247,127.0338991
249,스타벅스 강남대로논현R점,서울 서초구 강남대로85길 5,37.5073277,127.0225816
250,스타벅스 창동이마트점,서울 도봉구 노해로65길 4,37.6516821,127.046933
251,스타벅스 광나루,서울 광진구 아차산로 607,37.5473667,127.106064
