word1,word2,freq
취소,해외여행,1
여행,카페,1
업종,코로나,1
보험,여행,1
서울시,재택근무,1
수도권,재택근무,1
교육부,재택근무,1
1,3,1
1,근무,1
3,근무,1
무직,학교,1
기준,재택근무,1
교육청,서울시,1
교육청,재택근무,1
교원,재택근무,1
소,코로나,1
8,여행,1
8,제주,1
제주,행정명령,1
격상,제주,1
격상,코로나,1
여름,여행,1
여름,제주,1
검사,소,1
소,제주도,1
8,금지,1
보험,코로나,1
여행,준비물,1
시,음성,1
시간,집합,1
여행,푸켓,1
금지,시간,1
제주,추천,1
추천,코스,1
미국,시,1
미국,음성,1
미국,입국,1
미국,확인,1
기간,집합,1
금지명령,집합,1
시,확인,1
음성,입국,1
음성,코로나,1
음성,확인,1
입국,확인,1
금지,기간,1
리스트,여행,1
리스트,제주,1
리스트,준비물,1
제주,행시,1
가능,종식,1
보험,해외,1
재개,해외,1
시대,여행,1
시대,코로나,1
시대,해외,1
여행,연휴,1
연휴,추석,1
연휴,해외,1
부산,집합,1
금지,부산,1
여행,재개,1
금지명령,코로나,1
해외여행,후,1
추천,해외,1
블루,코로나,1
나,여행,1
백신,해외여행,1
백신,후,1
접종,코로나,1
접종,해외여행,1
접종,후,1
코로나,후,1
뉴질랜드,코로나,1
